OID_,vh_raw,vv_raw,S1_pixel_ID,class_assignment
222,0.0036481,0.0474458,609,
223,0.0054352,0.0404614,1378,NC
224,0.0044787,0.0204857,27,smooth
225,0.0155601,0.0654653,1683,NC
226,0.0158578,0.0435533,1065,
227,0.0131577,0.0434542,151,
228,0.0120975,0.0399998,1516,
229,0.0107644,0.0663871,1604,
230,0.0100239,0.1015803,1895,
231,0.0168058,0.1115048,1130,
232,0.0198687,0.1136748,578,
233,0.0061449,0.0795739,1661,
234,0.0063639,0.0610389,620,
235,0.0092291,0.0603403,1875,
236,0.0144287,0.0734805,682,
237,0.0233942,0.1081212,117,
238,0.0030557,0.0722927,1226,
239,0.0083640,0.0476290,1601,
240,0.0143998,0.0555342,979,
241,0.0307850,0.1233590,207,
242,0.0114797,0.0512627,453,
243,0.0258739,0.1465317,249,
244,0.0130465,0.1296485,487,
245,0.0203318,0.1222892,1083,
246,0.0128908,0.1041862,894,
247,0.0136825,0.0740336,703,
248,0.0204663,0.0722792,437,
249,0.0170624,0.1073177,1897,
250,0.0197281,0.1564583,535,
251,0.0249210,0.1454396,1660,
252,0.0138129,0.1193384,1296,
253,0.0078019,0.0896173,1820,
254,0.0117638,0.0821304,1073,
255,0.0126117,0.0637809,510,
256,0.0139082,0.0457723,1342,
257,0.0310360,0.1818493,1699,
258,0.0192787,0.1556303,1408,
259,0.0135492,0.1193101,1184,
260,0.0122591,0.1090249,327,
261,0.0128180,0.0863801,1460,
262,0.0157376,0.0646716,1634,
263,0.0241375,0.2268207,1276,
264,0.0173032,0.2319052,169,
265,0.0191620,0.1219907,611,
266,0.0174016,0.0854546,1742,
267,0.0178895,0.0706534,673,
268,0.0239406,0.0577926,740,
269,0.0161728,0.2134158,791,
270,0.0271332,0.2458916,1927,
271,0.0350730,0.1490127,1213,
272,0.0296022,0.0849388,1672,
273,0.0272203,0.0610079,1884,
274,0.0270473,0.0772279,1338,
275,0.0288676,0.0799783,254,
276,0.0518081,0.2213818,1371,
277,0.0432173,0.2546143,1610,
278,0.0176911,0.0561295,500,
279,0.0197519,0.0960589,1751,
280,0.0147114,0.1111502,1158,
281,0.0103847,0.1177273,1741,
282,0.0289222,0.1732636,579,
283,0.0280907,0.0392493,1555,
284,0.0201912,0.0611854,834,
285,0.0108706,0.0759688,1733,
286,0.0112187,0.0744333,1455,
287,0.0187320,0.0774619,811,
288,0.0204508,0.0648561,631,
289,0.0146573,0.0662266,1747,
290,0.0074245,0.0762326,1495,
291,0.0102483,0.0764672,994,
292,0.0176383,0.0904811,1297,
293,0.0390472,0.1319804,1518,
294,0.0751731,0.2039600,1181,
295,0.0257374,0.2009909,383,
296,0.0393029,0.2719744,1062,
297,0.0536134,0.2294219,1312,
298,0.1011994,0.2124268,1466,
299,0.1486492,0.2150730,1190,
300,0.0236369,0.1267635,97,
301,0.0126458,0.0925157,801,
302,0.0140109,0.1180760,1760,
303,0.0121042,0.0734038,635,
304,0.0061988,0.0503967,1284,
305,0.0049263,0.0415763,1322,
306,0.0056537,0.0405445,866,smooth
307,0.0518249,0.1584449,1770,
308,0.0322534,0.1125420,1890,
309,0.0161384,0.0482296,1056,
310,0.0087148,0.0509634,1349,
311,0.0105270,0.0676008,1469,
312,0.0112706,0.0679140,1193,NC
313,0.0628827,0.1925146,787,
314,0.0221239,0.1083517,208,
315,0.0165636,0.0994752,37,
316,0.0200363,0.1069273,1740,
317,0.0164537,0.0819042,1221,
318,0.0727276,0.3453006,62,
319,0.0182589,0.3054061,159,
320,0.0137088,0.1449435,1706,
321,0.0196000,0.1187830,1350,
322,0.0143556,0.0742306,1410,
323,0.0134228,0.4189736,617,
324,0.0132111,0.1527496,1722,
325,0.0165482,0.0750359,1920,
326,0.0101274,0.0564108,23,
327,0.0049745,0.0518519,953,smooth
328,0.0111217,0.1423245,315,NC
329,0.0084699,0.0888794,1308,smooth
330,0.0141600,0.1557166,1753,smooth
331,0.0110993,0.0762917,214,NC
332,0.0132929,0.1166211,636,NC
333,0.0275273,0.1558447,1359,NC
334,0.0129470,0.0613966,413,
335,0.0102304,0.0776325,1545,
336,0.0203593,0.0909810,958,
337,0.0072988,0.0535795,38,
338,0.0084317,0.0634040,1775,
339,0.0091909,0.0538508,598,
340,0.0184824,0.0851640,1727,
341,0.0279002,0.2149189,320,
342,0.0309533,0.2555901,582,
343,0.0273876,0.1465814,501,
344,0.0296057,0.1055970,1862,
345,0.0261648,0.1375882,892,
346,0.0149265,0.2196567,1575,
347,0.0153052,0.1651854,684,
348,0.0186041,0.1373863,1215,
349,0.0190825,0.1338940,479,
350,0.0112073,0.0910315,1865,
351,0.0125096,0.0737792,1107,
352,0.0196961,0.1105902,431,
353,0.0141734,0.0690130,1195,
354,0.0066836,0.0983372,1719,
355,0.0083526,0.1046066,1614,
356,0.0132832,0.1082548,1042,
357,0.0182286,0.0993818,621,
358,0.0107402,0.0606596,1609,
359,0.0084999,0.1067281,870,
360,0.0119157,0.1636069,1812,
361,0.0169683,0.2373542,497,
362,0.0096948,0.0715774,1362,
363,0.0065770,0.0731925,59,
364,0.0086698,0.1010362,172,
365,0.0127566,0.1710912,606,
366,0.0168101,0.2212188,109,
367,0.0086626,0.0739452,1912,
368,0.0078723,0.0824699,1488,
369,0.0091022,0.0882658,252,
370,0.0089719,0.1211260,748,
371,0.0138487,0.1561252,1133,
372,0.0095654,0.0487356,1919,
373,0.0064245,0.0800385,116,
374,0.0093480,0.1048818,1239,
375,0.0046585,0.0374241,1713,
376,0.0060231,0.0964077,123,
377,0.0198379,0.1974673,1311,
378,0.0328507,0.2492782,467,
379,0.0365251,0.1992484,1191,
380,0.0469344,0.1712785,847,
381,0.0491722,0.1390528,849,
382,0.0515797,0.2670730,1581,
383,0.0143391,0.2088346,1850,
384,0.0292311,0.1744179,168,
385,0.0384770,0.1434371,216,
386,0.0253899,0.1395611,1599,
387,0.0098815,0.0740553,672,
388,0.0293523,0.1252432,218,
389,0.0200479,0.1935175,243,
390,0.0229739,0.1416502,1636,
391,0.0305069,0.1304912,1871,
392,0.0192630,0.1449925,374,
393,0.0126981,0.1383726,1515,
394,0.0243405,0.1178871,226,
395,0.0183411,0.1676117,1093,
396,0.0172872,0.1445337,1101,
397,0.0208352,0.1638087,835,
398,0.0234870,0.2284958,1560,
399,0.0205457,0.1973848,896,
400,0.0193435,0.1545228,800,
401,0.0130300,0.1784667,1262,
402,0.0094569,0.1776899,965,
403,0.0120257,0.1757502,864,
404,0.0226601,0.2225093,459,
405,0.0238572,0.1899061,1066,
406,0.0169686,0.1415269,372,
407,0.0081667,0.1984030,1222,
408,0.0038138,0.2027011,1688,
409,0.0050817,0.1556785,386,
410,0.0151933,0.2330820,1268,
411,0.0118688,0.2046793,1648,
412,0.0126036,0.1155948,1923,
413,0.0884223,0.4427520,1522,
414,0.0464207,0.2030259,1654,
415,0.0379021,0.2261887,95,
416,0.0488050,0.1845468,1041,
417,0.0830742,0.1999826,434,
418,0.0265457,0.1313592,1452,
419,0.0168615,0.1991575,547,
420,0.0265911,0.1943804,831,
421,0.0658772,0.1870665,728,
422,0.0905497,0.3183894,669,
423,0.0724287,0.3293232,201,
424,0.0159205,0.1833915,262,
425,0.0134157,0.2278962,1769,
426,0.0165238,0.1467706,1872,
427,0.0280368,0.1062486,1077,
428,0.0408408,0.2961407,1825,
429,0.0392348,0.3968706,522,
430,0.0128198,0.1542449,601,
431,0.0143681,0.1956394,1272,
432,0.0116400,0.1217887,1054,
433,0.0111008,0.0527436,1840,
434,0.0098092,0.1923221,128,
435,0.0205753,0.3047938,543,
436,0.0139339,0.0731593,1198,
437,0.0187032,0.1222153,986,
438,0.0151296,0.1202128,652,
439,0.0070180,0.0531716,366,
440,0.0054811,0.1077575,349,
441,0.0186066,0.1391910,532,
442,0.0252902,0.1414747,381,
443,0.0245866,0.0736829,74,
444,0.0223599,0.0949920,1064,
445,0.0291984,0.1694515,1247,
446,0.0273816,0.1453999,69,
447,0.0281012,0.1996569,148,
448,0.0285286,0.2186177,1248,
449,0.0246380,0.1788632,765,
450,0.0455877,0.2291741,756,
451,0.0475881,0.4513774,572,
452,0.0542732,0.3952137,155,
453,0.0274358,0.2033069,1208,
454,0.0283176,0.1655381,1504,
455,0.0878019,0.1998771,199,
456,0.0307762,0.2913706,1939,
457,0.0314639,0.2839887,970,
458,0.0305294,0.1920878,1874,
459,0.0272269,0.1764085,516,
460,0.0290347,0.2046360,400,
461,0.0844745,0.2097601,877,
462,0.0240940,0.1262344,286,
463,0.0222607,0.2018990,492,
464,0.0264927,0.1679991,291,
465,0.0308511,0.1532190,259,
466,0.0363457,0.2355202,63,
467,0.0636303,0.2094695,608,
468,0.0162092,0.1160416,1369,
469,0.0194720,0.0872456,1143,
470,0.0097934,0.0463450,1732,
471,0.0055285,0.1012139,908,
472,0.0099510,0.1833499,392,
473,0.0197809,0.2267597,575,
474,0.0197824,0.1454782,250,
475,0.0110779,0.0556892,473,
476,0.0053394,0.0895242,353,NC
477,0.0089211,0.1991966,1053,
478,0.0342198,0.2566396,828,
479,0.0168580,0.1690564,1111,
480,0.0102769,0.0652445,1010,
481,0.0106954,0.0790068,591,NC
482,0.0134141,0.1508793,1893,NC
483,0.0770101,0.2234957,5,
484,0.0358164,0.1575914,1014,
485,0.0269231,0.0595710,187,
486,0.0238585,0.0668735,717,
487,0.0181191,0.0805113,1930,NC
488,0.1044254,0.1899870,77,
489,0.0631396,0.1495347,850,
490,0.0751895,0.0569184,1493,
491,0.0486145,0.0529589,1529,NC
492,0.0327310,0.0706236,1916,NC
493,0.0829808,0.1535215,1554,
494,0.0957111,0.1787133,1481,
495,0.1309593,0.1058026,248,
496,0.0715662,0.0542943,857,
497,0.0331215,0.0688315,1635,NC
498,0.0218367,0.1945198,934,
499,0.0137931,0.0781566,961,water
500,0.0215252,0.0765789,1675,NC
501,0.0255889,0.0811102,1060,
502,0.0126250,0.0432649,1868,NC
503,0.0104849,0.0336499,145,NC
504,0.0136333,0.0572476,498,NC
505,0.0181115,0.0373621,363,NC
506,0.0184418,0.0451074,1238,NC
507,0.0076255,0.0547073,287,NC
508,0.0078875,0.0912514,1212,NC
509,0.0117480,0.0655233,1442,NC
510,0.0121593,0.0628424,1564,water
511,0.0093974,0.0755535,1838,NC
512,0.0084597,0.1319875,257,
513,0.0050878,0.1362021,959,
514,0.0048258,0.1286886,520,
515,0.0074147,0.1824434,1585,
516,0.0096308,0.1618169,127,
517,0.0109834,0.0832841,1451,
518,0.0087190,0.0766575,185,
519,0.0113784,0.0718614,326,
520,0.0107953,0.0433925,643,
521,0.0112048,0.0617123,215,
522,0.0101075,0.0386208,1707,
523,0.0128245,0.0438937,1473,
524,0.0156550,0.0650572,1380,
525,0.0178843,0.0603658,1316,
526,0.0115374,0.0451840,738,
527,0.0118934,0.0583609,1255,
528,0.0171177,0.0510813,129,
529,0.0087986,0.0376853,829,
530,0.0099550,0.0440138,1873,
531,0.0138993,0.0317361,112,
532,0.0148048,0.0266475,1557,
533,0.0188176,0.0477853,441,
534,0.0158157,0.0715345,1811,
535,0.0079263,0.0394173,142,
536,0.0050507,0.0760657,1866,
537,0.0079997,0.0839342,744,
538,0.0127511,0.0514308,715,
539,0.0205232,0.0934634,102,
540,0.0227023,0.1636827,335,
541,0.0108258,0.0476215,792,
542,0.0072757,0.0774902,971,
543,0.0068781,0.0896660,1909,
544,0.0109719,0.0926905,1846,
545,0.0186593,0.1655469,171,
546,0.0246948,0.2303814,515,
547,0.0104758,0.1098683,658,
548,0.0168186,0.1359778,808,
549,0.0227415,0.2022215,1777,
550,0.0263189,0.2233102,435,
551,0.0304774,0.1803102,1287,
552,0.0197989,0.0502559,1194,
553,0.0157501,0.1081614,891,
554,0.0244927,0.1021034,10,
555,0.0389822,0.1019727,213,
556,0.0394327,0.1847604,781,
557,0.0328900,0.1470470,1028,
558,0.0152049,0.0747848,554,
559,0.0142758,0.0759762,1192,
560,0.0175957,0.0675182,705,
561,0.0415810,0.0669324,333,
562,0.0400390,0.1110155,488,
563,0.0150395,0.0915558,1370,
564,0.0177305,0.1825023,219,
565,0.0109430,0.1122202,67,
566,0.0116180,0.0909975,677,
567,0.0339416,0.0805379,1854,
568,0.0403886,0.0737738,1914,
569,0.0220546,0.0791683,1155,
570,0.0238153,0.2212561,1813,
571,0.0168130,0.1468744,718,
572,0.0147876,0.1115543,1589,
573,0.0241733,0.1099887,1183,
574,0.0311770,0.0970306,858,
575,0.0226864,0.1091813,1588,
576,0.0318559,0.1985189,910,
577,0.0269752,0.1617095,633,
578,0.0218336,0.1008750,16,
579,0.0212743,0.0862059,1102,
580,0.0192643,0.1111428,1016,
581,0.0200307,0.0931232,84,
582,0.0276665,0.1674160,881,
583,0.0225222,0.1605614,188,
584,0.0193588,0.0890195,840,
585,0.0210662,0.0535457,1541,
586,0.0198581,0.0853878,414,
587,0.0226297,0.0683923,1571,
588,0.0453249,0.1456669,821,NC
589,0.0989274,0.2124317,481,NC
590,0.1443941,0.1737734,293,NC
591,0.0842627,0.1115015,1189,NC
592,0.0355212,0.0936148,1295,
593,0.0221366,0.1183276,122,rough
594,0.0640887,0.1734833,1372,rough
595,0.1073769,0.2424222,1703,rough
596,0.0933240,0.2592811,1205,NC
597,0.0846837,0.2466425,1768,NC
598,0.0155634,0.1120035,1917,NC
599,0.0302345,0.1464568,794,rough
600,0.0644812,0.3267876,1303,rough
601,0.0851509,0.4594373,15,rough
602,0.1348862,0.4141669,1027,rough
603,0.0151968,0.1291999,1878,
604,0.0175888,0.1387439,1787,
605,0.0338614,0.2726896,725,NC
606,0.0480533,0.3839470,1815,rough
607,0.1298473,0.3056678,48,rough
608,0.0184357,0.0969506,1559,
609,0.0165552,0.0952744,1503,
610,0.0199045,0.1012606,1856,
611,0.0225877,0.1280873,1335,
612,0.0699457,0.1346468,64,NC
613,0.0326265,0.1102326,443,
614,0.0283585,0.1031867,1007,
615,0.0203980,0.0764623,1020,
616,0.0202391,0.1031465,314,
617,0.0267618,0.1166509,1470,
618,0.0318836,0.0814111,1374,NC
619,0.0174725,0.0751511,1400,NC
620,0.0084770,0.0984627,1691,
621,0.0101979,0.1137594,292,
622,0.0170186,0.1169404,1826,NC
623,0.0305675,0.0838140,895,NC
624,0.0955842,0.2348755,675,NC
625,0.0511431,0.1399991,1546,NC
626,0.0147964,0.0885040,1869,
627,0.0160849,0.1236575,347,NC
628,0.0599766,0.2043444,1068,
629,0.0812614,0.1752536,1444,
630,0.2010169,0.4641406,1689,NC
631,0.0949000,0.3002291,209,smooth
632,0.0195051,0.1762924,1524,
633,0.0203385,0.1467983,1799,NC
634,0.0767535,0.2423286,1950,NC
635,0.0943251,0.2237463,1305,NC
636,0.2320491,0.4858378,1879,rough
637,0.1089865,0.4752325,569,NC
638,0.0200516,0.2968321,1670,NC
639,0.0263348,0.1307000,1162,smooth
640,0.0511944,0.1459623,1424,NC
641,0.0678865,0.1819944,424,NC
642,0.1177027,0.2922590,1457,rough
643,0.0821638,0.4616764,1392,rough
644,0.0359133,0.2969208,1456,rough
645,0.0416940,0.1025024,1596,NC
646,0.0395791,0.0911555,1270,NC
647,0.0471275,0.1465594,1218,NC
648,0.0399687,0.1898426,1385,NC
649,0.0387725,0.3228992,911,rough
650,0.0334697,0.2634420,977,rough
651,0.0371258,0.1772300,1384,NC
652,0.0406749,0.1703717,45,NC
653,0.0537270,0.1696898,162,
654,0.0227504,0.0751171,1003,water
655,0.0445250,0.1235074,1693,NC
656,0.0227125,0.1621458,587,NC
657,0.0397306,0.1421402,1157,
658,0.0420915,0.2180480,593,
659,0.0443063,0.2373907,752,NC
660,0.0205643,0.0757939,1018,NC
661,0.0634320,0.2703149,806,
662,0.0783337,0.3453083,296,
663,0.0498453,0.2303889,478,NC
664,0.0341845,0.1102207,11,smooth
665,0.0437500,0.2446560,166,NC
666,0.0620828,0.3426729,1737,
667,0.0609559,0.1768325,914,
668,0.0626785,0.1506627,1791,NC
669,0.0522094,0.1833829,962,NC
670,0.0262240,0.2505946,242,NC
671,0.0398752,0.2886677,1463,
672,0.0830622,0.1764644,776,
673,0.0966362,0.2016039,415,
674,0.0482299,0.2728779,1265,NC
675,0.0576537,0.2249124,534,smooth
676,0.0814272,0.1673255,1081,NC
677,0.0239347,0.0683674,581,smooth
678,0.0095299,0.0828232,1174,smooth
679,0.0778705,0.1309390,20,NC
680,0.0257850,0.0825553,246,smooth
681,0.0071385,0.0745362,281,smooth
682,0.0055800,0.0653393,1544,NC
683,0.0520571,0.1042462,1561,NC
684,0.0235061,0.0677604,865,smooth
685,0.0082536,0.0885949,1715,NC
686,0.0102974,0.1158327,111,
687,0.0114692,0.0744421,1329,
688,0.0302084,0.0807987,1523,smooth
689,0.0241018,0.0514532,1052,smooth
690,0.0080000,0.0883437,107,NC
691,0.0115169,0.1202581,427,
692,0.0140971,0.0912779,138,
693,0.0156258,0.2158705,1428,smooth
694,0.0235401,0.1103723,1314,smooth
695,0.0248608,0.0481470,1521,smooth
696,0.0141808,0.0547776,709,NC
697,0.0102380,0.0666748,476,
698,0.0105621,0.0746490,704,
699,0.0100214,0.1558667,872,
700,0.0051248,0.1701633,860,
701,0.0129819,0.1337392,92,
702,0.0123528,0.0793805,1474,
703,0.0196744,0.0907713,973,
704,0.0201878,0.1219212,1128,
705,0.0268768,0.1179024,1491,
706,0.0174081,0.1531847,382,
707,0.0118815,0.1503702,1757,
708,0.0198154,0.1304356,1700,
709,0.0248049,0.0930243,1082,
710,0.0455151,0.2261905,527,
711,0.0379148,0.1723403,1144,
712,0.0211740,0.1215036,573,
713,0.0296770,0.1771293,1827,
714,0.0387649,0.1805101,1038,NC
715,0.0378668,0.2543696,338,
716,0.0325149,0.2054498,1567,
717,0.0221961,0.1539277,486,NC
718,0.0435478,0.2200903,496,rough
719,0.0565073,0.2114006,1309,rough
720,0.0247664,0.1839531,842,
721,0.0274261,0.1910910,1367,NC
722,0.0239133,0.1753680,1122,rough
723,0.0449569,0.2170771,351,rough
724,0.0615713,0.2114360,770,rough
725,0.0239204,0.1426271,509,NC
726,0.0390404,0.1669229,954,rough
727,0.0323936,0.2086707,1852,rough
728,0.0356853,0.2847018,612,rough
729,0.0737520,0.2979745,724,rough
730,0.0924112,0.2309659,331,rough
731,0.0745118,0.4861704,1232,rough
732,0.1550073,0.5188312,1877,rough
733,0.1059119,0.6107872,692,rough
734,0.2476241,0.6489789,147,rough
735,0.0309788,0.1936432,1569,NC
736,0.0240392,0.2940153,1501,NC
737,0.0185600,0.3125732,556,NC
738,0.0289302,0.2702514,1388,rough
739,0.0414448,0.2216357,856,NC
740,0.0619737,0.1760613,134,NC
741,0.0334241,0.1839208,697,rough
742,0.0217929,0.2694390,721,rough
743,0.0201917,0.3101683,61,NC
744,0.0237973,0.2368692,133,rough
745,0.0301767,0.1923968,227,rough
746,0.0409796,0.1409152,758,smooth
747,0.0245050,0.1473849,1348,rough
748,0.0167568,0.1289270,1104,rough
749,0.0312226,0.2269836,1098,rough
750,0.0134151,0.1766542,690,NC
751,0.0139656,0.1198559,1593,NC
752,0.0130897,0.1261479,368,NC
753,0.0429212,0.1809208,100,rough
754,0.0345389,0.1027715,49,rough
755,0.0522052,0.1125175,1126,rough
756,0.0268518,0.1226125,416,NC
757,0.0198848,0.0817820,484,water
758,0.0146027,0.1116104,1000,water
759,0.1581334,0.2587465,90,rough
760,0.0869586,0.2039263,873,rough
761,0.1093939,0.1899170,309,rough
762,0.0928575,0.1529384,1613,rough
763,0.0579085,0.0773985,1302,NC
764,0.0324343,0.0622960,499,water
765,0.3362941,0.3270873,757,rough
766,0.2054664,0.3622265,88,rough
767,0.2092394,0.4494537,1177,rough
768,0.1857778,0.2996638,1830,rough
769,0.1186778,0.1948100,438,rough
770,0.0660366,0.1123532,1186,NC
771,0.0660455,0.1919040,1806,NC
772,0.0354159,0.2159120,1598,smooth
773,0.0556236,0.1853060,1129,NC
774,0.1184772,0.1968114,1355,
775,0.1288305,0.3267559,686,
