OID_,S1_pixel_ID,class,AREA,PERCENTAGE
143,255,mixed,78.8492696,78.84926969
144,258,smooth,100,99.99999981
145,259,mixed,48.84036546,48.84036548
146,260,rough,31.06250037,31.06250031
147,261,water,16.08364079,16.08364077
148,262,mixed,11.22466401,11.224664
149,263,smooth,100,99.99999989
150,265,smooth,100,100.0000001
151,268,smooth,100,99.99999996
152,272,smooth,100,99.99999989
153,274,smooth,14.1105,14.11050002
154,277,smooth,93.8226023,93.82260227
155,278,smooth,90.66308242,90.66308245
156,280,rough,86.51816093,86.51816097
157,281,mixed,12.47072521,12.47072521
158,284,mixed,16.743,16.74300003
159,285,smooth,100,100
160,287,rough,100,100.0000002
161,288,water,5.26267482,5.262674814
162,289,mixed,77.7190438,77.71904383
163,292,mixed,0.38922997,0.38922997
164,294,mixed,100,100
165,295,smooth,98.04588448,98.04588438
166,296,rough,1.473853225,1.473853227
167,296,water,46.2169323,46.21693237
168,298,rough,3.07478166,3.074781661
169,300,rough,0.03833478,0.03833478
170,300,smooth,4.49032737,4.490327365
171,302,smooth,100,99.99999996
172,303,mixed,49.04573945,49.04573947
173,304,rough,17.76173085,17.76173086
174,306,smooth,100,100
175,307,smooth,100,100
176,308,smooth,5.93962425,5.939624257
177,310,mixed,75.1435,75.14349986
178,311,smooth,100,99.99999996
179,312,smooth,81.14554455,81.14554446
180,314,smooth,100,100.0000002
181,315,smooth,99.60863728,99.60863724
182,317,mixed,15.7275,15.72750003
183,318,smooth,99.9646486,99.96464856
184,319,water,1.659763625,1.659763627
185,320,rough,49.09431835,49.09431833
186,321,smooth,11.65550172,11.65550172
187,323,rough,65.48174574,65.48174572
188,325,rough,68.74946726,68.74946724
189,327,rough,69.60190236,69.60190233
190,329,mixed,100,100.0000002
191,330,smooth,100,99.99999996
192,331,rough,82.90382445,82.90382448
193,332,smooth,2.567959985,2.567959982
194,333,rough,0.30103199,0.30103199
195,334,rough,1.79676628,1.796766281
196,337,rough,18.05895281,18.05895282
197,338,smooth,100,100.0000001
198,339,smooth,100,99.99999985
199,341,water,60.30350438,60.30350449
200,342,water,35.01004338,35.01004342
201,343,water,15.26334173,15.26334171
202,344,rough,5.419283535,5.419283533
203,345,rough,70.81678115,70.81678112
204,347,water,72.40525963,72.40525966
205,349,smooth,56.05058484,56.05058494
206,352,mixed,100,100
207,353,mixed,38.61680044,38.61680037
208,355,rough,0.0013365,0.0013365
209,358,mixed,28.10641458,28.10641455
210,363,mixed,100,100
211,365,rough,100,100.0000001
212,367,mixed,100,100.0000001
213,368,rough,14.94693775,14.94693778
214,369,rough,100,100
215,370,water,100,99.99999981
216,371,water,16.95267964,16.95267963
217,372,smooth,27.01535584,27.01535585
218,373,rough,91.12828143,91.1282814
219,375,rough,4.64158467,4.641584661
220,376,smooth,16.5813904,16.58139043
221,378,rough,2.22199555,2.221995555
222,380,smooth,100,100
223,381,water,3.819E-05,3.819E-05
224,382,rough,0.00366786,0.00366786
225,383,rough,30.38554536,30.38554538
226,384,smooth,100,99.99999996
227,386,water,75.48124232,75.48124235
228,387,rough,30.826698,30.82669803
229,388,rough,82.70963367,82.70963371
230,391,smooth,100,100.0000001
231,392,mixed,100,99.99999996
232,393,rough,52.97868843,52.97868837
233,397,smooth,36.205,36.20500001
234,398,smooth,100,100
235,401,mixed,99.103825,99.10382541
236,402,smooth,21.4465,21.44650001
237,403,smooth,87.63245991,87.63245987
238,404,mixed,43.2064283,43.20642832
239,405,mixed,90.70779247,90.70779257
240,408,rough,88.62116507,88.62116504
241,409,smooth,51.9485,51.94849998
242,411,rough,69.16169501,69.16169488
243,416,water,22.13176884,22.13176884
244,419,mixed,89.5514089,89.55140887
245,424,rough,46.11817998,46.11817992
246,425,water,46.43341479,46.43341487
247,427,smooth,100,100.0000001
248,430,rough,57.27723343,57.27723354
249,431,mixed,49.4295,49.42949991
250,433,water,8.092735145,8.09273516
251,438,smooth,49.33605814,49.33605816
252,440,water,8.90175366,8.901753683
253,442,mixed,52.517,52.51699986
254,444,rough,15.26450963,15.26450963
255,446,rough,38.55513488,38.5551349
256,447,rough,73.07424187,73.07424173
257,450,rough,7.81920962,7.819209608
258,452,mixed,100,99.99999989
259,453,smooth,100,99.99999996
260,454,rough,99.63146664,99.63146697
261,455,rough,90.87786716,90.87786713
262,456,rough,5.04015625,5.040156244
263,457,rough,41.88143673,41.88143667
264,458,rough,18.67209129,18.67209127
265,461,mixed,43.2405,43.24049995
266,463,water,9.373599375,9.373599379
267,466,water,7.15541107,7.155411067
268,469,smooth,100,100.0000003
269,473,rough,7.11725775,7.117257742
270,474,rough,0.0188924,0.0188924
271,475,rough,2.0720376,2.072037599
272,476,smooth,100,99.99999996
273,478,rough,49.42988898,49.42988904
274,479,mixed,37.21773354,37.21773342
275,479,rough,3.53826099,3.538260978
276,480,rough,100,100
277,481,water,17.70818966,17.70818965
278,482,mixed,0.84594605,0.84594605
279,482,rough,29.23531157,29.23531158
280,483,rough,100,100
281,484,smooth,100,99.99999978
282,485,mixed,99.79497496,99.794975
283,492,mixed,100,100
284,493,mixed,100,99.99999996
285,497,rough,53.12727258,53.12727264
286,499,mixed,57.4365,57.43650002
287,500,rough,47.63387169,47.63387176
288,501,mixed,19.8838375,19.88383752
289,501,rough,24.01016649,24.01016652
290,502,smooth,100,100.0000001
291,509,smooth,59.191,59.19100015
292,510,mixed,84.54719168,84.54719159
293,511,smooth,47.58,47.58000002
294,512,rough,30.07110619,30.07110615
295,513,smooth,17.20636058,17.20636059
296,516,mixed,100,100
297,517,smooth,100,100.0000001
298,519,rough,2.69960275,2.699602749
299,522,rough,100,99.99999989
300,523,rough,72.15083284,72.15083271
301,524,smooth,99.24459706,99.24459702
302,525,mixed,100,100
303,526,rough,3.3914088,3.391408804
304,526,water,53.17174072,53.17174078
305,527,smooth,99.99291829,99.99291825
306,529,rough,27.78459146,27.78459148
307,530,mixed,100,100
308,531,rough,91.03909512,91.03909492
309,535,rough,21.70460483,21.70460483
310,536,smooth,100,99.99999989
311,537,mixed,100,99.99999996
312,541,rough,39.72810182,39.72810181
313,542,mixed,100,99.99999996
314,546,water,7.84135554,7.841355528
315,547,rough,9.407361435,9.407361439
316,549,rough,10.58611037,10.58611036
317,551,rough,44.03848719,44.03848729
318,552,rough,54.60326588,54.6032659
319,553,rough,19.87008709,19.87008711
320,555,smooth,71.691,71.69100003
321,558,smooth,54.96818688,54.9681869
322,559,water,13.2097832,13.20978321
323,560,mixed,100,100.0000001
324,563,smooth,98.98479064,98.9847906
325,565,rough,83.11463156,83.11463153
326,566,rough,59.63938524,59.63938522
327,570,rough,17.08704535,17.08704539
328,570,water,0.3534382,0.353438201
329,572,water,13.4365675,13.4365675
330,573,mixed,100,99.99999974
331,575,rough,97.80159394,97.8015939
332,576,mixed,79.95508156,79.95508153
333,577,smooth,100,99.99999978
334,578,smooth,100,100
335,579,mixed,100,100.0000002
336,582,smooth,13.26136362,13.26136362
337,583,rough,68.13748779,68.13748789
338,584,mixed,100,99.99999996
339,587,rough,50.01098814,50.01098808
340,588,rough,48.72055787,48.72055796
341,590,mixed,100,100
342,591,rough,0.284821585,0.284821585
343,592,mixed,100,99.99999996
344,594,rough,16.38836295,16.38836296
345,594,smooth,0.28524096,0.28524096
346,595,smooth,100,99.99999989
347,596,smooth,98.23495168,98.23495186
348,597,smooth,95.4807091,95.48070914
349,599,rough,3.857133745,3.85713374
350,604,rough,100,99.99999996
351,605,smooth,100,99.99999996
352,606,mixed,36.49662948,36.49662947
353,607,mixed,100,99.99999989
354,609,rough,15.70843006,15.70843004
355,610,mixed,100,99.99999974
356,612,mixed,67.6348434,67.63484348
357,613,smooth,100,100
358,614,rough,39.66785565,39.66785561
359,615,mixed,46.17873574,46.17873572
360,618,mixed,22.75043351,22.7504335
361,619,mixed,100,100
362,620,smooth,100,100.0000001
363,622,rough,11.22056631,11.22056631
364,627,mixed,40.65804384,40.65804382
365,628,smooth,4.37422221,4.374222208
366,631,mixed,28.55774536,28.55774537
367,631,rough,10.02594421,10.02594421
368,632,smooth,23.50611701,23.50611701
369,633,mixed,91.00887651,91.00887661
370,634,smooth,100,100.0000001
371,635,mixed,99.99306685,99.99306674
372,641,rough,6.896656605,6.896656615
373,642,rough,48.52794747,48.52794745
374,643,smooth,100,100.0000002
375,645,water,12.13243124,12.13243124
376,646,smooth,100,100.0000001
377,649,rough,5.485184855,5.485184849
378,651,smooth,100,100.0000001
379,652,rough,0.380461315,0.380461314
380,655,smooth,100,99.99999985
381,656,mixed,57.30117586,57.30117592
382,657,smooth,100,100
383,660,mixed,45.23605242,45.23605247
384,661,mixed,100,100.0000001
385,663,smooth,8.21478601,8.214786007
386,664,rough,28.83582711,28.83582708
387,665,rough,52.67682898,52.67682898
388,666,mixed,100,99.99999996
389,667,mixed,36.34380444,36.34380445
390,668,rough,65.57802138,65.5780213
391,669,mixed,100,100
392,670,smooth,53.7735,53.7735001
393,671,rough,54.06754734,54.06754738
394,672,rough,38.86920835,38.86920831
395,673,smooth,100,99.99999985
396,674,rough,68.11830722,68.11830715
397,675,mixed,2.784029875,2.784029872
398,676,rough,72.80308652,72.80308649
399,677,smooth,100,99.99999996
400,678,rough,34.72831464,34.72831471
401,679,mixed,100,99.99999996
402,680,rough,2.884597355,2.884597356
403,681,mixed,0.93650411,0.93650411
404,682,mixed,99.9061366,99.90613664
405,683,mixed,100,100.0000001
406,684,smooth,100,100.0000001
407,687,rough,61.39752185,61.39752192
408,688,mixed,88.28437936,88.28437933
409,690,smooth,100,99.99999989
410,692,smooth,100,99.99999989
411,693,water,4.62200946,4.622009458
412,695,rough,6.26510797,6.265107967
413,696,rough,45.16066515,45.1606653
414,697,rough,98.82411169,98.82411191
415,698,rough,49.59227222,49.59227213
416,700,rough,48.3062767,48.30627663
417,701,smooth,100,100.0000001
418,704,smooth,100,99.99999978
419,710,mixed,2.49207879,2.492078787
420,714,rough,27.86703729,27.8670373
421,715,smooth,100,100
422,719,mixed,90.18605472,90.18605462
423,720,mixed,30.442,30.44199999
424,722,smooth,94.28548892,94.28548882
425,723,smooth,100,99.99999978
426,724,mixed,7.95254646,7.952546451
427,727,water,18.96321129,18.9632113
428,730,smooth,48.74493933,48.74493942
429,732,smooth,35.6279569,35.62795689
430,733,rough,27.97701999,27.97701997
431,736,smooth,100,99.99999989
432,737,rough,8.811701395,8.811701392
433,738,smooth,100,99.99999996
434,739,smooth,100,99.99999996
435,740,mixed,42.71766968,42.7176697
436,741,rough,11.38280129,11.38280129
437,743,smooth,100,99.99999981
438,744,mixed,29.16744096,29.16744097
439,744,water,13.45408991,13.45408991
440,745,rough,99.44193865,99.44193854
441,746,rough,0.025977005,0.025977005
442,747,smooth,0.67938312,0.67938312
443,748,smooth,100,99.99999989
444,753,smooth,100,99.99999996
445,755,water,15.31450152,15.3145015
446,756,rough,10.00980541,10.00980541
447,759,rough,80.63642125,80.63642116
448,762,water,53.82710321,53.82710319
449,763,water,9.09651531,9.096515331
450,764,smooth,100,100
451,767,mixed,17.8722611,17.87226113
452,768,smooth,100,99.99999981
453,771,mixed,0.559793475,0.559793476
454,771,rough,36.721,36.7210001
455,772,rough,1.8595157,1.859515697
456,773,smooth,100,99.99999996
457,775,mixed,100,100.0000001
458,777,rough,57.90052994,57.90052996
459,778,rough,1.00748285,1.007482851
460,781,rough,28.81547655,28.81547652
461,786,smooth,100,99.99999996
462,790,mixed,4.54444356,4.544443555
463,790,rough,19.86694935,19.86694933
464,791,smooth,77.941,77.94100003
465,794,mixed,100,100
466,795,water,12.90169922,12.90169923
467,797,mixed,0.22392292,0.22392292
468,798,smooth,8.649002135,8.649002151
469,798,water,1.44856698,1.448566983
470,804,mixed,100,100
471,807,smooth,96.6455,96.64549996
472,809,mixed,100,100
473,810,rough,16.42475712,16.42475715
474,811,rough,0.260879375,0.260879375
475,812,mixed,62.71067368,62.7106737
476,815,rough,0.54640844,0.546408441
477,817,smooth,100,100.0000001
478,819,water,94.90853169,94.90853165
479,820,mixed,100,99.99999996
480,821,mixed,23.30827985,23.30827984
481,822,rough,13.70528057,13.70528052
482,823,rough,9.513025615,9.513025619
483,824,mixed,100,100
484,825,rough,47.03063034,47.03063032
485,827,rough,0.866956995,0.866956996
486,828,rough,100,100.0000001
487,832,smooth,100,99.99999989
488,834,smooth,100,100.0000003
489,838,smooth,100,99.99999996
490,839,mixed,100,99.99999989
491,840,smooth,100,100.0000002
492,842,smooth,100,100.0000001
493,844,rough,98.45847378,98.45847367
494,845,smooth,100,100.0000001
495,847,rough,63.15082779,63.15082777
496,849,rough,33.4450502,33.44505021
497,850,mixed,40.3745,40.37449999
498,852,rough,0.96477184,0.964771839
499,853,rough,99.41088647,99.41088651
500,854,mixed,0.51700343,0.517003429
501,858,rough,61.84025718,61.84025725
502,860,rough,8.98046602,8.980466023
503,861,rough,23.50925586,23.50925585
504,862,mixed,100,100
505,863,rough,47.15622627,47.15622628
506,864,mixed,100,100
507,865,rough,0.5710731,0.571073099
508,865,smooth,13.021,13.02099998
509,866,rough,10.95866228,10.95866231
510,867,smooth,100,100.0000003
511,869,rough,54.54762413,54.54762415
512,871,smooth,0.026856405,0.026856405
513,872,mixed,90.51958595,90.51958592
514,874,water,55.27311602,55.27311609
515,875,rough,39.97925915,39.97925918
516,876,rough,1.72996143,1.729961427
517,878,rough,26.01321983,26.01321982
518,878,water,16.8725294,16.87252939
519,881,rough,100,100.0000001
520,885,water,94.96602521,94.96602524
521,886,rough,33.71452532,33.71452528
522,886,smooth,6.014185345,6.014185338
523,888,rough,61.73150467,61.73150469
524,890,smooth,100,99.99999989
525,891,rough,0.0780125,0.0780125
526,893,smooth,100,100
527,894,mixed,100,100
528,895,mixed,35.91241895,35.91241902
529,896,mixed,100,99.99999989
530,900,rough,0.18631748,0.18631748
531,901,smooth,59.21496028,59.2149603
532,903,smooth,57.75584551,57.75584553
533,904,smooth,100,100.0000003
534,905,rough,2.5301143,2.530114297
535,906,rough,13.96755603,13.967556
536,907,mixed,81.924,81.92400009
537,911,water,2.67954717,2.679547171
538,912,smooth,100,100
539,916,mixed,3.467216175,3.467216174
540,917,mixed,68.8028866,68.80288657
541,918,water,83.1556918,83.15569165
542,920,smooth,100,100.0000001
543,921,rough,54.69663065,54.69663071
544,922,rough,79.0796393,79.07963939
545,923,rough,2.49596258,2.495962581
546,924,rough,37.50119709,37.50119705
547,926,smooth,28.6685,28.66850001
548,928,smooth,100,100.0000002
549,929,rough,21.8803515,21.88035149
550,932,rough,77.1319098,77.13190983
551,933,rough,100,100
552,936,mixed,9.50553564,9.505535643
553,936,rough,18.13666178,18.13666178
554,937,rough,16.46449109,16.46449107
555,938,mixed,100,99.99999989
556,939,rough,88.35234355,88.35234365
557,940,smooth,100,99.99999996
558,941,rough,25.62448939,25.6244894
559,943,smooth,100,99.99999978
560,944,rough,96.9741734,96.97417336
561,945,mixed,100,99.99999996
562,946,smooth,100,100
563,948,rough,44.60781358,44.60781356
564,950,mixed,71.44470625,71.44470628
565,951,rough,43.96557593,43.96557591
566,953,rough,100,100.0000001
567,954,mixed,100,100.0000001
568,955,smooth,56.3621425,56.36214247
569,957,smooth,100,100.0000003
570,958,smooth,20.1475,20.14750003
571,959,rough,43.0560652,43.05606523
572,961,rough,4.576386545,4.57638655
573,962,rough,18.79761198,18.797612
574,963,smooth,100,100
575,965,rough,9.42053691,9.420536899
576,966,mixed,100,100.0000001
577,970,mixed,100,100
578,972,rough,6.504850445,6.504850452
579,976,mixed,100,100
580,977,rough,57.21953204,57.21953202
581,981,rough,32.0388168,32.03881679
582,982,rough,21.90595952,21.90595951
583,984,smooth,84.191,84.19100022
584,987,mixed,100,99.99999996
585,988,rough,89.12806426,89.12806416
586,989,rough,29.12349651,29.12349652
587,990,mixed,5.688225805,5.688225799
588,991,smooth,100,99.99999996
589,993,mixed,100,99.99999996
590,995,rough,15.88351663,15.8835166
591,996,rough,74.01684978,74.01684973
592,997,rough,75.4722482,75.47224823
593,999,rough,50.0722,50.07219994
594,1000,smooth,6.125112825,6.125112837
595,1001,mixed,100,99.99999981
596,1002,mixed,100,100
597,1004,rough,100,99.99999996
598,1005,mixed,100,99.99999996
599,1008,rough,0.094663435,0.094663435
600,1009,rough,70.21389497,70.21389494
601,1010,rough,99.99901468,99.99901483
602,1013,smooth,100,100.0000001
603,1014,mixed,100,99.99999989
604,1018,rough,64.09474712,64.0947471
605,1019,smooth,100,99.99999996
606,1020,smooth,98.72890446,98.72890475
607,1024,rough,20.86251589,20.8625159
608,1025,smooth,100,99.99999996
609,1026,rough,26.61377087,26.61377092
610,1027,smooth,100,99.99999985
611,1028,smooth,75.395,75.39499997
612,1030,smooth,7.505,7.505000002
613,1031,mixed,39.2995,39.2994999
614,1032,water,3.605737315,3.605737311
615,1033,smooth,94.0521216,94.05212171
616,1035,rough,100,99.99999989
617,1036,rough,1.01192332,1.011923318
618,1037,smooth,100,99.99999978
619,1038,smooth,100,100
620,1039,rough,76.37326085,76.37326076
621,1040,mixed,100,100.0000001
622,1042,smooth,100,99.99999985
623,1043,smooth,22.209,22.20900004
624,1045,rough,80.98480598,80.98480622
625,1046,smooth,100,99.99999989
626,1052,water,55.1324986,55.13249854
627,1053,water,31.91602856,31.91602853
628,1055,smooth,100,99.99999989
629,1060,smooth,100,100.0000001
630,1065,rough,23.37692602,23.37692605
631,1068,mixed,100,100
632,1069,smooth,83.81408637,83.8140864
633,1070,rough,61.97487303,61.97487301
634,1073,smooth,100,100.0000001
635,1075,mixed,100,99.99999981
636,1077,smooth,70.62588648,70.62588648
637,1078,smooth,63.39315531,63.39315529
638,1079,mixed,100,100
639,1080,rough,98.4299712,98.42997098
640,1083,smooth,59.0445,59.04449993
641,1084,rough,81.08856675,81.0885669
642,1089,rough,100,100
643,1091,smooth,100,99.99999996
644,1092,mixed,100,100
645,1093,rough,81.08019684,81.08019681
646,1094,mixed,100,99.99999996
647,1096,smooth,26.88772755,26.88772763
648,1098,mixed,92.614062,92.61406197
649,1099,mixed,1.15108056,1.151080559
650,1099,water,6.167369785,6.167369778
651,1100,smooth,30.4455,30.44550003
652,1101,rough,4.75976701,4.759767015
653,1103,mixed,100,99.99999989
654,1104,rough,6.095777165,6.095777163
655,1105,mixed,60.5995,60.59949993
656,1107,smooth,13.2705,13.27049999
657,1108,water,32.81543108,32.81543106
658,1109,smooth,0.67299422,0.67299422
659,1111,water,57.29076931,57.29076933
660,1113,smooth,100,100.0000001
661,1116,rough,80.85248026,80.85248017
662,1118,water,24.0905294,24.09052943
663,1119,mixed,0.62574703,0.625747031
664,1120,smooth,100,99.99999996
665,1122,smooth,100,100
666,1127,smooth,66.31694443,66.31694441
667,1128,smooth,100,99.99999978
668,1130,smooth,84.37715316,84.37715313
669,1131,rough,6.515137965,6.515137968
670,1132,rough,2.964213725,2.964213728
671,1133,rough,3.07239694,3.072396945
672,1135,water,54.78565904,54.78565884
673,1136,smooth,100,99.99999989
674,1139,mixed,95.67444752,95.67444763
675,1146,mixed,99.90138643,99.90138639
676,1148,smooth,0.57949449,0.579494491
677,1149,smooth,68.87464307,68.8746431
678,1151,rough,57.80944114,57.80944125
679,1152,mixed,100,99.99999981
680,1153,rough,8.058350525,8.05835054
681,1155,mixed,24.75550034,24.75550031
682,1157,rough,23.88131501,23.88131504
683,1158,rough,0.749025585,0.749025585
684,1159,water,0.13068886,0.13068886
685,1160,smooth,100,100
686,1162,rough,19.70793206,19.70793207
687,1163,rough,28.58303086,28.58303088
688,1163,water,7.22693552,7.226935523
689,1164,smooth,34.2658528,34.26585274
690,1169,mixed,25.79593941,25.79593939
691,1170,rough,1.523388,1.523387999
692,1175,mixed,67.27649405,67.27649402
693,1176,mixed,9.08772033,9.087720347
694,1176,rough,25.38294977,25.38294981
695,1177,smooth,100,100.0000002
696,1178,mixed,100,100
697,1179,smooth,100,99.99999996
698,1182,rough,3.970890795,3.970890802
699,1183,rough,98.94219898,98.94219891
700,1184,smooth,2.4786744,2.478674401
701,1185,mixed,5.165088825,5.165088819
702,1188,smooth,100,99.99999996
703,1189,mixed,100,100
704,1191,mixed,99.9483385,99.94833846
705,1193,rough,82.97838383,82.97838386
706,1194,smooth,65.66740546,65.66740558
707,1195,smooth,4.15545476,4.155454763
708,1197,rough,92.08513981,92.08513984
709,1199,rough,0.84336667,0.84336667
710,1200,mixed,100,99.99999981
711,1202,mixed,99.95414208,99.95414219
712,1203,rough,53.12878413,53.12878409
713,1205,water,36.23446887,36.23446886
714,1206,water,47.46664225,47.46664231
715,1207,mixed,100,99.99999989
716,1208,smooth,100,99.99999996
717,1209,water,68.75100346,68.75100339
718,1211,mixed,24.06717871,24.06717872
719,1211,water,37.7717119,37.77171192
720,1212,smooth,100,100.0000002
721,1213,mixed,32.19371704,32.1937171
722,1213,water,13.91336275,13.91336278
723,1214,rough,61.81344093,61.81344096
724,1215,mixed,32.15210896,32.15210893
725,1217,rough,30.50142072,30.50142065
726,1218,mixed,100,99.99999996
727,1219,rough,0.3759912,0.375991201
728,1223,rough,9.912482565,9.912482546
729,1225,water,87.75302955,87.75302952
730,1228,smooth,5.62343328,5.623433274
731,1235,rough,58.51497503,58.51497505
732,1237,smooth,35.551,35.55100001
733,1238,smooth,100,99.99999989
734,1239,rough,7.67304552,7.673045512
735,1240,smooth,100,99.99999981
736,1241,smooth,100,100.0000001
737,1247,mixed,91.48127983,91.4812798
738,1248,smooth,1.1366314,1.136631402
739,1251,smooth,100,100
740,1254,rough,28.62317946,28.62317949
741,1255,rough,18.82194804,18.82194805
742,1257,smooth,42.82652048,42.82652046
743,1259,rough,18.9643608,18.96436079
744,1259,smooth,2.743,2.742999999
745,1260,mixed,10.6033669,10.60336691
746,1263,rough,84.66347664,84.6634768
747,1264,water,29.36903129,29.36903127
748,1265,smooth,90.764,90.76400017
749,1270,mixed,100,99.99999996
750,1271,rough,75.88711091,75.88711088
751,1272,mixed,95.11775416,95.11775412
752,1273,smooth,100,100.0000001
753,1274,rough,58.70517445,58.70517443
754,1275,smooth,100,100.0000001
755,1276,mixed,100,99.99999996
756,1277,rough,100,99.99999996
757,1280,mixed,93.14477211,93.14477221
758,1285,rough,99.99540222,99.99540241
759,1287,smooth,100,99.99999978
760,1288,rough,66.27874138,66.27874131
761,1289,mixed,35.17407659,35.17407655
762,1289,water,5.46696938,5.466969374
763,1292,rough,92.098,92.09800004
764,1294,rough,8.225076525,8.225076528
765,1294,smooth,0.429100125,0.429100125
766,1295,mixed,88.46734285,88.46734282
767,1296,water,25.36310476,25.36310476
768,1298,rough,25.85824261,25.85824259
769,1299,smooth,1.49585148,1.495851479
